2383	938	4	2
2989	707	4	3
3594	712	4	4
4005	647	4	5
4050	751	4	6
3941	778	4	7
3633	802	4	8
3329	1024	4	9
2885	1120	4	10
2576	1203	4	11
2409	1227	4	12
2293	1102	4	13
2138	1163	4	14
2018	1144	4	15
1943	1104	4	16
1903	864	4	17
1848	829	4	18
1819	649	4	19
1729	830	4	20
1732	859	4	21
1619	666	4	22
1466	702	4	23
1905	1181	5	2
2485	896	5	3
2965	725	5	4
3267	750	5	5
3300	838	5	6
3185	888	5	7
3005	854	5	8
2735	1012	5	9
2461	958	5	10
2224	1236	5	11
1977	1366	5	12
1770	1386	5	13
1644	1042	5	14
1578	936	5	15
1545	896	5	16
1522	921	5	17
1502	974	5	18
1456	794	5	19
1392	778	5	20
1396	671	5	21
1325	709	5	22
1196	723	5	23
1601	1036	6	2
2043	943	6	3
2414	1042	6	4
2708	802	6	5
2794	858	6	6
2762	820	6	7
2609	939	6	8
2280	938	6	9
2063	1217	6	10
1862	1373	6	11
1646	1123	6	12
1555	1085	6	13
1455	1172	6	14
1406	1136	6	15
1373	1307	6	16
1327	1305	6	17
1298	1248	6	18
1231	872	6	19
1186	897	6	20
1134	689	6	21
1102	756	6	22
1007	786	6	23
1375	1184	7	2
1724	1061	7	3
2043	1056	7	4
2269	983	7	5
2387	945	7	6
2322	982	7	7
2167	1017	7	8
2042	1028	7	9
1805	1003	7	10
1630	964	7	11
1476	1032	7	12
1318	1031	7	13
1241	1198	7	14
1180	938	7	15
1150	997	7	16
1118	1055	7	17
1088	1246	7	18
1050	1391	7	19
1035	1039	7	20
984	969	7	21
909	1150	7	22
800	984	7	23
1212	1091	8	2
1475	984	8	3
1733	1100	8	4
1884	1068	8	5
1907	983	8	6
1850	1180	8	7
1851	991	8	8
1709	1371	8	9
1587	982	8	10
1431	999	8	11
1318	1042	8	12
1211	1771	8	13
1092	1548	8	14
1036	1550	8	15
1010	1487	8	16
978	1107	8	17
1017	1133	8	18
917	1102	8	19
901	1129	8	20
818	1182	8	21
789	1110	8	22
712	1009	8	23
1080	1092	9	2
1265	1063	9	3
1428	1009	9	4
1538	1015	9	5
1563	1241	9	6
1604	1241	9	7
1579	987	9	8
1509	1368	9	9
1359	1090	9	10
1268	1429	9	11
1186	1539	9	12
1099	1242	9	13
1012	1232	9	14
970	1243	9	15
918	1210	9	16
853	1012	9	17
813	962	9	18
759	924	9	19
742	1159	9	20
720	1176	9	21
683	1009	9	22
592	1060	9	23
