2	2110	608	45.93473631	2277	802	1.079146919	28.31960452		0
3	2777	617	52.69724851	3010	843	1.083903493	29.03446228		0
4	3356	567	57.93099343	3604	774	1.073897497	27.82085549		0
5	3802	635	61.66036004	4006	724	1.053655971	26.90724809		0
6	3999	659	63.23764702	4319	729	1.080020005	27		0
7	3821	667	61.81423784	4143	812	1.084271133	28.4956137		0
8	3432	709	58.58327406	3907	980	1.138403263	31.30495168		0
9	3056	628	55.28109984	3490	1112	1.142015707	33.346664		0
10	2710	641	52.05766034	3068	1011	1.132103321	31.79622619		0
11	2370	646	48.68264578	2722	1294	1.148523207	35.9722115		0
12	2126	718	46.10856753	2487	1194	1.169802446	34.55430509		0
13	1981	762	44.50842617	2319	1169	1.170620899	34.19064199		0
14	1879	677	43.3474336	2135	1189	1.136242682	34.4818793		0
15	1835	631	42.83689998	2029	1034	1.105722071	32.15587038		0
16	1820	620	42.66145802	1979	1276	1.087362637	35.7211422		0
17	1782	704	42.21374184	1932	933	1.084175084	30.5450487		0
18	1721	717	41.48493703	1905	1002	1.106914585	31.65438358		0
19	1707	618	41.31585652	1851	847	1.084358524	29.10326442		0
20	1726	592	41.54515616	1821	792	1.055040556	28.14249456		0
21	1682	608	41.01219331	1762	888	1.047562426	29.79932885		0
22	1564	621	39.54743987	1625	785	1.039002558	28.01785145		0
23	1415	633	37.61648575	1469	633	1.038162544	25.15949125		0
